country,ave_lifeExp,ave_gdpPercap
Afghanistan,37.478833333333334,802.674598425
Albania,68.43291666666667,3255.3666326666666
Algeria,59.030166666666666,4426.0259731666665
Angola,37.8835,3607.1005288333336
Argentina,69.06041666666667,8955.553782666666
Australia,74.66291666666666,19980.595634166668
Austria,73.10325,20411.916279333334
Bahrain,65.60566666666666,18077.663945416665
Bangladesh,49.83408333333333,817.5588182166666
Belgium,73.64175,19900.758071666667
Benin,48.779916666666665,1155.3951073833334
Bolivia,52.504583333333336,2961.2287536666668
Bosnia and Herzegovina,67.70783333333334,3484.7790694
Botswana,54.597500000000004,5031.503557166667
Brazil,62.2395,5829.31665275
Bulgaria,69.74375,6384.055172
Burkina Faso,44.694,843.9906647166666
Burundi,44.81733333333333,471.6629897
Cambodia,47.90275,675.3678242583334
Cameroon,48.1285,1774.6342223333334
Canada,74.90275,22410.746339999998
Central African Republic,43.86691666666667,958.7846969833333
Chad,46.773583333333335,1165.4536742166667
Chile,67.43091666666666,6703.289147083333
China,61.78514,1488.3076940083333
Colombia,63.89775,4195.342919916667
Comoros,52.38175,1314.3803386833333
"Congo, Dem. Rep.",44.54375,648.34264595
"Congo, Rep.",52.501916666666666,3312.7882151666668
Costa Rica,70.18141666666666,5448.610779416666
Cote d'Ivoire,48.436166666666665,1912.82538225
Croatia,70.05591666666666,9331.712345916667
Cuba,71.04508333333334,6283.258678333334
Czech Republic,71.51050000000001,13920.011379
Denmark,74.37016666666666,21671.824887916668
Djibouti,46.38075,2697.8331621666666
Dominican Republic,61.5545,2844.8564049166666
Ecuador,62.816833333333335,5733.62476675
Egypt,56.243,3074.0307314166666
El Salvador,59.63333333333333,4431.846597333333
Equatorial Guinea,42.96,2469.1666809333333
Eritrea,45.99925,541.0025066666667
Ethiopia,44.47575,509.1151555
Finland,72.99191666666667,17473.72266733333
France,74.34891666666667,18833.570327083333
Gabon,51.2205,11529.865474416667
Gambia,44.40058333333333,680.1325855583333
Germany,73.44441666666667,20556.68443275
Ghana,52.340666666666664,1044.5820461416668
Greece,73.73316666666666,13969.036832916667
Guatemala,56.729416666666665,4015.402771416667
Guinea,43.23983333333334,776.0673046750001
Guinea-Bissau,39.21025,652.1572081
Haiti,50.16525,1620.7392895
Honduras,57.920833333333334,2834.4130831666666
"Hong Kong, China",73.49283333333334,16228.700864749999
Hungary,69.39316666666667,10888.175653666667
Iceland,76.51141666666666,20531.4222725
India,53.16608333333333,1057.29630685
Indonesia,54.33575,1741.3653595416667
Iran,58.636583333333334,7376.5829054999995
Iraq,56.58175,7811.809116666666
Ireland,73.01725,15758.60623775
Israel,73.64583333333333,14160.936434083334
Italy,74.01383333333334,16245.209006416668
Jamaica,68.74933333333334,6197.645405
Japan,74.82691666666666,17750.869984166668
Jordan,59.78641666666667,3128.1207616666666
Kenya,52.681,1200.41571995
"Korea, Dem. Rep.",63.60733333333334,2591.8525776666665
"Korea, Rep.",65.001,8217.318485083333
Kuwait,68.92233333333333,65332.91047166667
Lebanon,65.86566666666667,7269.21624125
Lesotho,50.007083333333334,780.5533931916666
Liberia,42.47625,604.8141412333333
Libya,59.30416666666667,12013.57920125
Madagascar,47.770583333333335,1335.5950270666667
Malawi,43.35158333333333,575.4472115083333
Malaysia,64.27958333333333,5406.0381969166665
Mali,43.4135,673.0930694166667
Mauritania,52.302083333333336,1356.6710106666667
Mauritius,64.95325,4768.94222125
Mexico,65.40883333333333,7724.1126745833335
Mongolia,55.89033333333333,1692.80461225
Montenegro,70.29916666666666,7208.06455975
Morocco,57.60883333333333,2447.9088640833334
Mozambique,40.3795,542.2783319916666
Myanmar,53.321666666666665,439.3333333333333
Namibia,53.49133333333333,3675.5820868333335
Nepal,48.986333333333334,782.7288220833333
Netherlands,75.6485,21748.852208166667
New Zealand,73.98949999999999,17262.622812499998
Nicaragua,58.34941666666667,3424.6557695
Niger,44.55866666666667,781.0767981083334
Nigeria,43.58133333333333,1488.3094291666666
Norway,75.843,26747.306554166666
Oman,58.44266666666667,12138.562227333334
Pakistan,54.88225,1439.2706890499999
Panama,67.80175,5754.8271718333335
Paraguay,66.80908333333333,3239.6067914166665
Peru,58.85933333333333,5613.84408675
Philippines,60.96725,2174.771130416667
Poland,70.17691666666667,8416.55391225
Portugal,70.41983333333333,11354.091927416666
Puerto Rico,72.73933333333333,10863.164303416666
Reunion,66.64425,4898.398390083334
Romania,68.29066666666667,7300.169973583334
Rwanda,41.48158333333333,675.6690431416666
Sao Tome and Principe,57.89633333333333,1382.782001175
Saudi Arabia,58.67875,20261.743635083334
Senegal,50.62591666666667,1533.1216945
Serbia,68.551,9305.049444083334
Sierra Leone,36.76916666666666,1072.8194927083332
Singapore,71.22025,17425.382266666667
Slovak Republic,70.69608333333333,10415.530689
Slovenia,71.60075,14074.582109333332
Somalia,40.98866666666667,1140.7932516583332
South Africa,53.99316666666667,7247.431074416667
Spain,74.20341666666667,14029.82647875
Sri Lanka,66.52608333333333,1854.7311195
Sudan,48.4005,1835.01042975
Swaziland,49.00241666666667,3163.35235825
Sweden,76.17699999999999,19943.126104
Switzerland,75.56508333333333,27074.334405
Syria,61.34616666666667,3009.2879806666665
Taiwan,70.33666666666667,10224.80718075
Tanzania,47.912333333333336,849.2812710916667
Thailand,62.20025,3045.966473958333
Togo,51.49875,1153.8201162916666
Trinidad and Tobago,66.828,7866.871946416666
Tunisia,60.721000000000004,3477.21035075
Turkey,59.696416666666664,4469.4533796666665
Uganda,47.618833333333335,810.3837879083333
United Kingdom,73.92258333333334,19380.472985583332
United States,73.4785,26261.151346666666
Uruguay,70.78158333333333,7100.133175666667
Venezuela,66.58066666666667,10088.516251583333
Vietnam,57.4795,1017.7126151666666
West Bank and Gaza,60.32866666666667,3759.99678125
"Yemen, Rep.",46.78041666666667,1569.2746721416668
Zambia,45.99633333333333,1358.199409
Zimbabwe,52.66316666666667,635.8580422916667
